Source,Target,Weight,Airport Code_Source,Airport Code_Target,Airport Name_Source,Airport Name_Target,US/INT_Source,US/Int_Target
32,964,22366,ABQ,MAF,Albuquerque International Sunport,Midland International Airport,True,True
32,978,36321,ABQ,MCI,Albuquerque International Sunport,Kansas City International Airport,True,True
32,982,39571,ABQ,MCO,Albuquerque International Sunport,Orlando International Airport,True,True
32,989,73303,ABQ,MDW,Albuquerque International Sunport,Chicago Midway International Airport,True,True
32,994,14,ABQ,MEM,Albuquerque International Sunport,Memphis International Airport,True,True
32,997,6,ABQ,MEX,Albuquerque International Sunport,Licenciado Benito Juarez International Airport,True,False
32,998,44,ABQ,MFE,Albuquerque International Sunport,Mc Allen Miller International Airport,True,True
32,1011,653,ABQ,MHT,Albuquerque International Sunport,Manchester-Boston Regional Airport,True,True
32,1022,348,ABQ,MKE,Albuquerque International Sunport,General Mitchell International Airport,True,True
32,1029,168,ABQ,MLI,Albuquerque International Sunport,Quad City International Airport,True,True
32,1047,32,ABQ,MOT,Albuquerque International Sunport,Minot International Airport,True,True
32,1061,1,ABQ,MRY,Albuquerque International Sunport,Monterey Peninsula Airport,True,True
32,1066,62,ABQ,MSN,Albuquerque International Sunport,Dane County Regional Truax Field,True,True
32,1068,76737,ABQ,MSP,Albuquerque International Sunport,Minneapolis-St Paul International/Wold-Chamberlain Airport,True,True
32,1072,1482,ABQ,MSY,Albuquerque International Sunport,Louis Armstrong New Orleans International Airport,True,True
32,1162,79535,ABQ,OAK,Albuquerque International Sunport,Metropolitan Oakland International Airport,True,True
32,1176,709,ABQ,OKC,Albuquerque International Sunport,Will Rogers World Airport,True,True
32,1185,276,ABQ,OMA,Albuquerque International Sunport,Eppley Airfield,True,True
32,1189,1863,ABQ,ONT,Albuquerque International Sunport,Ontario International Airport,True,True
32,1200,86697,ABQ,ORD,Albuquerque International Sunport,Chicago O'Hare International Airport,True,True
32,1201,147,ABQ,ORF,Albuquerque International Sunport,Norfolk International Airport,True,True
32,1231,130,ABQ,PBI,Albuquerque International Sunport,Palm Beach International Airport,True,True
32,1240,30864,ABQ,PDX,Albuquerque International Sunport,Portland International Airport,True,True
32,1252,7301,ABQ,PHL,Albuquerque International Sunport,Philadelphia International Airport,True,True
32,1255,368987,ABQ,PHX,Albuquerque International Sunport,Phoenix Sky Harbor International Airport,True,True
32,1264,245,ABQ,PIT,Albuquerque International Sunport,Pittsburgh International Airport,True,True
32,1297,209,ABQ,PSC,Albuquerque International Sunport,Tri Cities Airport,True,True
32,1304,263,ABQ,PSP,Albuquerque International Sunport,Palm Springs International Airport,True,True
32,1313,105,ABQ,PUB,Albuquerque International Sunport,Pueblo Memorial Airport,True,True
32,1320,613,ABQ,PVD,Albuquerque International Sunport,Theodore Francis Green State Airport,True,True
32,1322,74,ABQ,PVR,Albuquerque International Sunport,Licenciado Gustavo Díaz Ordaz International Airport,True,False
32,1353,593,ABQ,RDU,Albuquerque International Sunport,Raleigh Durham International Airport,True,True
32,1359,37,ABQ,RIC,Albuquerque International Sunport,Richmond International Airport,True,True
32,1372,3232,ABQ,RNO,Albuquerque International Sunport,Reno Tahoe International Airport,True,True
32,1391,76,ABQ,RSW,Albuquerque International Sunport,Southwest Florida International Airport,True,True
32,1403,70612,ABQ,SAN,Albuquerque International Sunport,San Diego International Airport,True,True
32,1405,10879,ABQ,SAT,Albuquerque International Sunport,San Antonio International Airport,True,True
32,1408,6,ABQ,SBA,Albuquerque International Sunport,Santa Barbara Municipal Airport,True,True
32,1413,350,ABQ,SBP,Albuquerque International Sunport,San Luis County Regional Airport,True,True
32,1426,14,ABQ,SDF,Albuquerque International Sunport,Louisville International Standiford Field,True,True
32,1433,52715,ABQ,SEA,Albuquerque International Sunport,Seattle Tacoma International Airport,True,True
32,1437,22064,ABQ,SFO,Albuquerque International Sunport,San Francisco International Airport,True,True
32,1456,3533,ABQ,SJC,Albuquerque International Sunport,Norman Y. Mineta San Jose International Airport,True,True
32,1457,492,ABQ,SJD,Albuquerque International Sunport,Los Cabos International Airport,True,False
32,1470,112717,ABQ,SLC,Albuquerque International Sunport,Salt Lake City International Airport,True,True
32,1480,8672,ABQ,SMF,Albuquerque International Sunport,Sacramento International Airport,True,True
32,1485,5353,ABQ,SNA,Albuquerque International Sunport,John Wayne Airport-Orange County Airport,True,True
32,1517,29530,ABQ,STL,Albuquerque International Sunport,St Louis Lambert International Airport,True,True
32,1529,1526,ABQ,SVC,Albuquerque International Sunport,Unkown,True,Unknown
32,1596,53,ABQ,TLH,Albuquerque International Sunport,Tallahassee Regional Airport,True,True
32,1613,10442,ABQ,TPA,Albuquerque International Sunport,Tampa International Airport,True,True
32,1628,1849,ABQ,TUL,Albuquerque International Sunport,Tulsa International Airport,True,True
32,1630,50197,ABQ,TUS,Albuquerque International Sunport,Tucson International Airport,True,True
32,1664,104,ABQ,UTM,Albuquerque International Sunport,Tunica Municipal Airport,True,True
32,1822,25,ABQ,YVR,Albuquerque International Sunport,Vancouver International Airport,True,False
32,1831,13,ABQ,YYC,Albuquerque International Sunport,Calgary International Airport,True,False
33,118,11,ABR,ATY,Aberdeen Regional Airport,Watertown Regional Airport,True,True
33,1068,20076,ABR,MSP,Aberdeen Regional Airport,Minneapolis-St Paul International/Wold-Chamberlain Airport,True,True
34,114,2711,ABV,ATL,Nnamdi Azikiwe International Airport,Hartsfield Jackson Atlanta International Airport,False,True
34,709,1,ABV,IAD,Nnamdi Azikiwe International Airport,Washington Dulles International Airport,False,True
34,766,7231,ABV,JFK,Nnamdi Azikiwe International Airport,John F Kennedy International Airport,False,True
35,114,35302,ABY,ATL,Southwest Georgia Regional Airport,Hartsfield Jackson Atlanta International Airport,True,True
35,598,73,ABY,GLH,Southwest Georgia Regional Airport,Mid Delta Regional Airport,True,True
35,899,1,ABY,LEX,Southwest Georgia Regional Airport,Blue Grass Airport,True,True
35,1820,78,ABY,YUL,Southwest Georgia Regional Airport,Montreal / Pierre Elliott Trudeau International Airport,True,False
36,114,801,ACA,ATL,General Juan N Alvarez International Airport,Hartsfield Jackson Atlanta International Airport,False,True
36,123,25,ACA,AUS,General Juan N Alvarez International Airport,Austin Bergstrom International Airport,False,True
36,246,171,ACA,BWI,General Juan N Alvarez International Airport,Baltimore/Washington International Thurgood Marshall Airport,False,True
36,391,9539,ACA,DFW,General Juan N Alvarez International Airport,Dallas Fort Worth International Airport,False,True
36,435,337,ACA,DTW,General Juan N Alvarez International Airport,Detroit Metropolitan Wayne County Airport,False,True
36,500,1732,ACA,EWR,General Juan N Alvarez International Airport,Newark Liberty International Airport,False,True
36,711,30850,ACA,IAH,General Juan N Alvarez International Airport,George Bush Intercontinental Houston Airport,False,True
36,731,328,ACA,IND,General Juan N Alvarez International Airport,Indianapolis International Airport,False,True
36,875,16,ACA,LAS,General Juan N Alvarez International Airport,McCarran International Airport,False,True
36,1068,117,ACA,MSP,General Juan N Alvarez International Airport,Minneapolis-St Paul International/Wold-Chamberlain Airport,False,True
36,1162,999,ACA,OAK,General Juan N Alvarez International Airport,Metropolitan Oakland International Airport,False,True
36,1200,2335,ACA,ORD,General Juan N Alvarez International Airport,Chicago O'Hare International Airport,False,True
36,1252,324,ACA,PHL,General Juan N Alvarez International Airport,Philadelphia International Airport,False,True
36,1255,5055,ACA,PHX,General Juan N Alvarez International Airport,Phoenix Sky Harbor International Airport,False,True
36,1353,12,ACA,RDU,General Juan N Alvarez International Airport,Raleigh Durham International Airport,False,True
36,1428,8,ACA,SDM,General Juan N Alvarez International Airport,Brown Field Municipal Airport,False,True
36,1480,293,ACA,SMF,General Juan N Alvarez International Airport,Sacramento International Airport,False,True
37,114,13125,ACC,ATL,Kotoka International Airport,Hartsfield Jackson Atlanta International Airport,False,True
37,356,144,ACC,CVG,Kotoka International Airport,Cincinnati Northern Kentucky International Airport,False,True
37,389,141,ACC,DEN,Kotoka International Airport,Denver International Airport,False,True
37,709,18257,ACC,IAD,Kotoka International Airport,Washington Dulles International Airport,False,True
37,766,37487,ACC,JFK,Kotoka International Airport,John F Kennedy International Airport,False,True
37,1200,1134,ACC,ORD,Kotoka International Airport,Chicago O'Hare International Airport,False,True
37,1433,44,ACC,SEA,Kotoka International Airport,Seattle Tacoma International Airport,False,True
37,1613,7,ACC,TPA,Kotoka International Airport,Tampa International Airport,False,True
38,145,36,ACK,BDL,Nantucket Memorial Airport,Bradley International Airport,True,True
38,146,8,ACK,BDR,Nantucket Memorial Airport,Igor I Sikorsky Memorial Airport,True,True
38,215,29505,ACK,BOS,Nantucket Memorial Airport,General Edward Lawrence Logan International Airport,True,True
38,348,1,ACK,CT1,Nantucket Memorial Airport,Unkown,True,Unknown
38,383,5248,ACK,DCA,Nantucket Memorial Airport,Ronald Reagan Washington National Airport,True,True
38,498,8414,ACK,EWB,Nantucket Memorial Airport,New Bedford Regional Airport,True,True
38,500,4832,ACK,EWR,Nantucket Memorial Airport,Newark Liberty International Airport,True,True
38,545,9,ACK,FRG,Nantucket Memorial Airport,Republic Airport,True,True
38,631,4,ACK,GVA,Nantucket Memorial Airport,Geneva Cointrin International Airport,True,False
38,651,2,ACK,HFD,Nantucket Memorial Airport,Hartford Brainard Airport,True,True
38,685,2337,ACK,HPN,Nantucket Memorial Airport,Westchester County Airport,True,True
38,692,13,ACK,HTO,Nantucket Memorial Airport,Unkown,True,Unknown
38,700,6,ACK,HVN,Nantucket Memorial Airport,Tweed New Haven Airport,True,True
38,702,31819,ACK,HYA,Nantucket Memorial Airport,Barnstable Municipal Boardman Polando Field,True,True
38,749,2,ACK,ISP,Nantucket Memorial Airport,Long Island Mac Arthur Airport,True,True
38,766,17872,ACK,JFK,Nantucket Memorial Airport,John F Kennedy International Airport,True,True
38,902,3271,ACK,LGA,Nantucket Memorial Airport,La Guardia Airport,True,True
38,1037,32,ACK,MMU,Nantucket Memorial Airport,Morristown Municipal Airport,True,True
38,1090,4017,ACK,MVY,Nantucket Memorial Airport,Martha's Vineyard Airport,True,True
38,1220,6,ACK,OWD,Nantucket Memorial Airport,Norwood Memorial Airport,True,True
38,1221,18,ACK,OXC,Nantucket Memorial Airport,Waterbury Oxford Airport,True,True
38,1252,3,ACK,PHL,Nantucket Memorial Airport,Philadelphia International Airport,True,True
38,1320,3136,ACK,PVD,Nantucket Memorial Airport,Theodore Francis Green State Airport,True,True
38,1573,817,ACK,TEB,Nantucket Memorial Airport,Teterboro Airport,True,True
38,1847,1,ACK,ZRH,Nantucket Memorial Airport,Zürich Airport,True,False
38,1858,4,ACK,ZXU,Nantucket Memorial Airport,Unkown,True,Unknown
39,145,50,ACT,BDL,Waco Regional Airport,Bradley International Airport,True,True
39,335,34,ACT,COU,Waco Regional Airport,Columbia Regional Airport,True,True
39,389,207,ACT,DEN,Waco Regional Airport,Denver International Airport,True,True
39,391,45735,ACT,DFW,Waco Regional Airport,Dallas Fort Worth International Airport,True,True
39,494,73,ACT,EUG,Waco Regional Airport,Mahlon Sweet Field,True,True
39,536,172,ACT,FOE,Waco Regional Airport,Topeka Regional Airport - Forbes Field,True,True
39,598,43,ACT,GLH,Waco Regional Airport,Mid Delta Regional Airport,True,True
39,711,13471,ACT,IAH,Waco Regional Airport,George Bush Intercontinental Houston Airport,True,True
39,719,230,ACT,IFP,Waco Regional Airport,Unkown,True,Unknown
39,872,35,ACT,LAN,Waco Regional Airport,Capital City Airport,True,True
39,978,111,ACT,MCI,Waco Regional Airport,Kansas City International Airport,True,True
39,994,86,ACT,MEM,Waco Regional Airport,Memphis International Airport,True,True
39,1008,256,ACT,MHK,Waco Regional Airport,Manhattan Regional Airport,True,True
39,1068,32,ACT,MSP,Waco Regional Airport,Minneapolis-St Paul International/Wold-Chamberlain Airport,True,True
39,1072,111,ACT,MSY,Waco Regional Airport,Louis Armstrong New Orleans International Airport,True,True
39,1109,48,ACT,NAS,Waco Regional Airport,Lynden Pindling International Airport,True,False
39,1162,89,ACT,OAK,Waco Regional Airport,Metropolitan Oakland International Airport,True,True
39,1176,174,ACT,OKC,Waco Regional Airport,Will Rogers World Airport,True,True
39,1426,28,ACT,SDF,Waco Regional Airport,Louisville International Standiford Field,True,True
39,1541,230,ACT,SWO,Waco Regional Airport,Stillwater Regional Airport,True,True
39,1629,49,ACT,TUP,Waco Regional Airport,Tupelo Regional Airport,True,True
39,1645,35,ACT,TYS,Waco Regional Airport,McGhee Tyson Airport,True,True
